Price,Schlusskurs
Ticker,ASML
Datum,
2025-05-19,745.9111938476562
2025-05-20,745.5428466796875
2025-05-21,734.0025634765625
2025-05-22,737.5173950195312
2025-05-23,729.3427124023438
2025-05-27,753.538330078125
2025-05-28,743.302490234375
2025-05-29,743.860107421875
2025-05-30,733.6043090820312
2025-06-02,743.3223876953125
2025-06-03,744.0392456054688
2025-06-04,739.5885009765625
2025-06-05,744.547119140625
2025-06-06,749.7845458984375
2025-06-09,766.8906860351562
2025-06-10,781.59716796875
2025-06-11,780.7210083007812
2025-06-12,782.8319091796875
2025-06-13,757.7301635742188
2025-06-16,771.8989868164062
2025-06-17,756.5950317382812
2025-06-18,758.3674926757812
2025-06-20,753.2794189453125
2025-06-23,776.3697509765625
2025-06-24,809.865234375
2025-06-25,811.7371826171875
2025-06-26,794.6608276367188
2025-06-27,792.530029296875
2025-06-30,797.9466552734375
2025-07-01,787.0735473632812
2025-07-02,796.1544189453125
2025-07-03,791.0862426757812
2025-07-07,781.7166748046875
2025-07-08,790.68798828125
2025-07-09,796.3933715820312
2025-07-10,798.6436767578125
2025-07-11,798.484375
2025-07-14,803.263671875
2025-07-15,819.4837646484375
2025-07-16,751.2083129882812
2025-07-17,741.7092895507812
2025-07-18,731.4237670898438
2025-07-21,716.5877075195312
2025-07-22,702.44873046875
2025-07-23,713.8495483398438
2025-07-24,721.964599609375
2025-07-25,708.1939697265625
2025-07-28,726.8534545898438
2025-07-29,717.217529296875
2025-07-30,720.1723022460938
2025-07-31,693.4796752929688
2025-08-01,688.5983276367188
2025-08-04,698.1213989257812
2025-08-05,688.4086303710938
2025-08-06,689.736328125
2025-08-07,711.8570556640625
2025-08-08,721.040771484375
2025-08-11,720.0325317382812
2025-08-12,740.4762573242188
2025-08-13,754.2318725585938
2025-08-14,753.8724975585938
2025-08-15,740.8455810546875
2025-08-18,746.22607421875
2025-08-19,742.2930297851562
2025-08-20,748.16259765625
2025-08-21,734.0975952148438
2025-08-22,753.5531005859375
2025-08-25,753.1238403320312
2025-08-26,761.848388671875
2025-08-27,768.6362915039062
2025-08-28,762.10791015625
2025-08-29,741.3048095703125
2025-09-02,724.564453125
2025-09-03,735.5150756835938
2025-09-04,752.0956420898438
2025-09-05,780.3156127929688
2025-09-08,794.83984375
2025-09-09,803.7041015625
2025-09-10,791.7353515625
2025-09-11,802.7357788085938
2025-09-12,812.4285888671875
2025-09-15,865.7639770507812
2025-09-16,876.8642578125
2025-09-17,870.7252197265625
2025-09-18,926.1567993164062
2025-09-19,930.4991455078125
2025-09-22,956.1036987304688
2025-09-23,961.8035888671875
2025-09-24,945.262939453125
2025-09-25,947.8682861328125
2025-09-26,949.8348388671875
2025-09-29,960.9051513671875
2025-09-30,966.37548828125
2025-10-01,1001.4932250976562
2025-10-02,1028.3455810546875
2025-10-03,1030.391845703125
2025-10-06,1041.4522705078125
2025-10-07,1000.52490234375
2025-10-08,986.060546875
2025-10-09,978.8034057617188
2025-10-10,934.531982421875
2025-10-13,982.9161376953125
2025-10-14,981.438720703125
2025-10-15,1008.0216064453125
2025-10-16,1017.7843017578125
2025-10-17,1027.4471435546875
2025-10-20,1040.3043212890625
2025-10-21,1023.2046508789062
2025-10-22,1009.7785034179688
2025-10-23,1034.574462890625
2025-10-24,1031.270263671875
2025-10-27,1058.1026611328125
2025-10-28,1050.615966796875
2025-10-29,1070.8399658203125
2025-10-30,1075.449951171875
2025-10-31,1059.22998046875
2025-11-03,1066.8199462890625
2025-11-04,1030.1400146484375
2025-11-05,1043.75
2025-11-06,1029.199951171875
2025-11-07,1016.9600219726562
2025-11-10,1038.7900390625
2025-11-11,1022.4199829101562
2025-11-12,1037.3299560546875
2025-11-13,1019.8599853515625
2025-11-14,1006.97998046875
2025-11-17,1020.0
2025-11-18,1004.0599975585938
