Price,Schlusskurs
Ticker,META
Datum,
2025-05-19,639.5059814453125
2025-05-20,636.1807861328125
2025-05-21,634.5830688476562
2025-05-22,635.6515502929688
2025-05-23,626.1552124023438
2025-05-27,641.3932495117188
2025-05-28,642.6514282226562
2025-05-29,644.1193237304688
2025-05-30,646.5557861328125
2025-06-02,669.9320678710938
2025-06-03,665.8878784179688
2025-06-04,686.9574584960938
2025-06-05,683.6322021484375
2025-06-06,696.703369140625
2025-06-09,693.05859375
2025-06-10,701.3865966796875
2025-06-11,693.1384887695312
2025-06-12,692.359619140625
2025-06-13,681.884765625
2025-06-16,701.6464233398438
2025-06-17,696.7597045898438
2025-06-18,695.3007202148438
2025-06-20,681.8897094726562
2025-06-23,698.0588989257812
2025-06-24,711.7196655273438
2025-06-25,708.2020263671875
2025-06-26,725.6002807617188
2025-06-27,733.1351928710938
2025-06-30,737.5922241210938
2025-07-01,718.73486328125
2025-07-02,713.0886840820312
2025-07-03,718.5250244140625
2025-07-07,717.865478515625
2025-07-08,720.1838989257812
2025-07-09,732.2857666015625
2025-07-10,726.7494506835938
2025-07-11,717.0260620117188
2025-07-14,720.4337158203125
2025-07-15,709.910888671875
2025-07-16,702.4358520507812
2025-07-17,700.9368896484375
2025-07-18,703.8049926757812
2025-07-21,712.4890747070312
2025-07-22,704.3345947265625
2025-07-23,713.0986938476562
2025-07-24,714.31787109375
2025-07-25,712.1992797851562
2025-07-28,717.14599609375
2025-07-29,699.52783203125
2025-07-30,694.7410888671875
2025-07-31,772.9183349609375
2025-08-01,749.504150390625
2025-08-04,775.8463745117188
2025-08-05,762.945068359375
2025-08-06,771.4692993164062
2025-08-07,761.316162109375
2025-08-08,768.7811279296875
2025-08-11,765.3534545898438
2025-08-12,789.4671630859375
2025-08-13,779.5538940429688
2025-08-14,781.6024780273438
2025-08-15,784.7003784179688
2025-08-18,766.8524169921875
2025-08-19,750.97314453125
2025-08-20,747.2156372070312
2025-08-21,738.6014404296875
2025-08-22,754.2808837890625
2025-08-25,752.7918701171875
2025-08-26,753.5913696289062
2025-08-27,746.8759155273438
2025-08-28,750.6033935546875
2025-08-29,738.2017822265625
2025-09-02,734.6141357421875
2025-09-03,736.5528564453125
2025-09-04,748.1450805664062
2025-09-05,751.9425048828125
2025-09-08,751.7925415039062
2025-09-09,765.1835327148438
2025-09-10,751.4727783203125
2025-09-11,750.3935546875
2025-09-12,755.0803833007812
2025-09-15,764.1842041015625
2025-09-16,778.4745483398438
2025-09-17,775.19677734375
2025-09-18,779.7237548828125
2025-09-19,777.85498046875
2025-09-22,765.1599731445312
2025-09-23,755.4000244140625
2025-09-24,760.6599731445312
2025-09-25,748.9099731445312
2025-09-26,743.75
2025-09-29,743.4000244140625
2025-09-30,734.3800048828125
2025-10-01,717.3400268554688
2025-10-02,727.0499877929688
2025-10-03,710.5599975585938
2025-10-06,715.6599731445312
2025-10-07,713.0800170898438
2025-10-08,717.8400268554688
2025-10-09,733.510009765625
2025-10-10,705.2999877929688
2025-10-13,715.7000122070312
2025-10-14,708.6500244140625
2025-10-15,717.5499877929688
2025-10-16,712.0700073242188
2025-10-17,716.9199829101562
2025-10-20,732.1699829101562
2025-10-21,733.27001953125
2025-10-22,733.4099731445312
2025-10-23,734.0
2025-10-24,738.3599853515625
2025-10-27,750.8200073242188
2025-10-28,751.4400024414062
2025-10-29,751.6699829101562
2025-10-30,666.469970703125
2025-10-31,648.3499755859375
2025-11-03,637.7100219726562
2025-11-04,627.3200073242188
2025-11-05,635.9500122070312
2025-11-06,618.9400024414062
2025-11-07,621.7100219726562
2025-11-10,631.760009765625
2025-11-11,627.0800170898438
2025-11-12,609.010009765625
2025-11-13,609.8900146484375
2025-11-14,609.4600219726562
2025-11-17,602.010009765625
2025-11-18,597.6900024414062
