Price,Schlusskurs,Schlusskurs,Schlusskurs,Schlusskurs,Schlusskurs
Ticker,AMZN,ASML,META,NVDA,TSLA
Datum,,,,,
2025-05-19,206.16000366210938,745.9111938476562,639.5059814453125,135.55294799804688,342.0899963378906
2025-05-20,204.07000732421875,745.5428466796875,636.1807861328125,134.3630828857422,343.82000732421875
2025-05-21,201.1199951171875,734.0025634765625,634.5830688476562,131.78341674804688,334.6199951171875
2025-05-22,203.10000610351562,737.5173950195312,635.6515502929688,132.81329345703125,341.0400085449219
2025-05-23,200.99000549316406,729.3427124023438,626.1552124023438,131.2734832763672,339.3399963378906
2025-05-27,206.02000427246094,753.538330078125,641.3932495117188,135.48294067382812,362.8900146484375
2025-05-28,204.72000122070312,743.302490234375,642.6514282226562,134.7930450439453,356.8999938964844
2025-05-29,205.6999969482422,743.860107421875,644.1193237304688,139.17250061035156,358.42999267578125
2025-05-30,205.00999450683594,733.6043090820312,646.5557861328125,135.11300659179688,346.4599914550781
2025-06-02,206.64999389648438,743.3223876953125,669.9320678710938,137.3627166748047,342.69000244140625
2025-06-03,205.7100067138672,744.0392456054688,665.8878784179688,141.2022247314453,344.2699890136719
2025-06-04,207.22999572753906,739.5885009765625,686.9574584960938,141.9021453857422,332.04998779296875
2025-06-05,207.91000366210938,744.547119140625,683.6322021484375,139.97239685058594,284.70001220703125
2025-06-06,213.57000732421875,749.7845458984375,696.703369140625,141.70216369628906,295.1400146484375
2025-06-09,216.97999572753906,766.8906860351562,693.05859375,142.612060546875,308.5799865722656
2025-06-10,217.61000061035156,781.59716796875,701.3865966796875,143.94189453125,326.0899963378906
2025-06-11,213.1999969482422,780.7210083007812,693.1384887695312,142.8219451904297,326.42999267578125
2025-06-12,213.24000549316406,782.8319091796875,692.359619140625,144.9918212890625,319.1099853515625
2025-06-13,212.10000610351562,757.7301635742188,681.884765625,141.9619903564453,325.30999755859375
2025-06-16,216.10000610351562,771.8989868164062,701.6464233398438,144.6818389892578,329.1300048828125
2025-06-17,214.82000732421875,756.5950317382812,696.7597045898438,144.1118621826172,316.3500061035156
2025-06-18,212.52000427246094,758.3674926757812,695.3007202148438,145.47178649902344,322.04998779296875
2025-06-20,209.69000244140625,753.2794189453125,681.8897094726562,143.84188842773438,322.1600036621094
2025-06-23,208.47000122070312,776.3697509765625,698.0588989257812,144.161865234375,348.67999267578125
2025-06-24,212.77000427246094,809.865234375,711.7196655273438,147.8916473388672,340.4700012207031
2025-06-25,211.99000549316406,811.7371826171875,708.2020263671875,154.30130004882812,327.54998779296875
2025-06-26,217.1199951171875,794.6608276367188,725.6002807617188,155.01126098632812,325.7799987792969
2025-06-27,223.3000030517578,792.530029296875,733.1351928710938,157.74110412597656,323.6300048828125
2025-06-30,219.38999938964844,797.9466552734375,737.5922241210938,157.98109436035156,317.6600036621094
2025-07-01,220.4600067138672,787.0735473632812,718.73486328125,153.29136657714844,300.7099914550781
2025-07-02,219.9199981689453,796.1544189453125,713.0886840820312,157.2411346435547,315.6499938964844
2025-07-03,223.41000366210938,791.0862426757812,718.5250244140625,159.3310089111328,315.3500061035156
2025-07-07,223.47000122070312,781.7166748046875,717.865478515625,158.2310791015625,293.94000244140625
2025-07-08,219.36000061035156,790.68798828125,720.1838989257812,159.99098205566406,297.80999755859375
2025-07-09,222.5399932861328,796.3933715820312,732.2857666015625,162.87081909179688,295.8800048828125
2025-07-10,222.25999450683594,798.6436767578125,726.7494506835938,164.09075927734375,309.8699951171875
2025-07-11,225.02000427246094,798.484375,717.0260620117188,164.91070556640625,313.510009765625
2025-07-14,225.69000244140625,803.263671875,720.4337158203125,164.06076049804688,316.8999938964844
2025-07-15,226.35000610351562,819.4837646484375,709.910888671875,170.69036865234375,310.7799987792969
2025-07-16,223.19000244140625,751.2083129882812,702.4358520507812,171.36033630371094,321.6700134277344
2025-07-17,223.8800048828125,741.7092895507812,700.9368896484375,172.99024963378906,319.4100036621094
2025-07-18,226.1300048828125,731.4237670898438,703.8049926757812,172.40028381347656,329.6499938964844
2025-07-21,229.3000030517578,716.5877075195312,712.4890747070312,171.37034606933594,328.489990234375
2025-07-22,227.47000122070312,702.44873046875,704.3345947265625,167.0205841064453,332.1099853515625
2025-07-23,228.2899932861328,713.8495483398438,713.0986938476562,170.77037048339844,332.55999755859375
2025-07-24,232.22999572753906,721.964599609375,714.31787109375,173.73020935058594,305.29998779296875
2025-07-25,231.44000244140625,708.1939697265625,712.1992797851562,173.49021911621094,316.05999755859375
2025-07-28,232.7899932861328,726.8534545898438,717.14599609375,176.7400360107422,325.5899963378906
2025-07-29,231.00999450683594,717.217529296875,699.52783203125,175.50009155273438,321.20001220703125
2025-07-30,230.19000244140625,720.1723022460938,694.7410888671875,179.25990295410156,319.0400085449219
2025-07-31,234.11000061035156,693.4796752929688,772.9183349609375,177.85997009277344,308.2699890136719
2025-08-01,214.75,688.5983276367188,749.504150390625,173.710205078125,302.6300048828125
2025-08-04,211.64999389648438,698.1213989257812,775.8463745117188,179.98985290527344,309.260009765625
2025-08-05,213.75,688.4086303710938,762.945068359375,178.24993896484375,308.7200012207031
2025-08-06,222.30999755859375,689.736328125,771.4692993164062,179.40988159179688,319.9100036621094
2025-08-07,223.1300048828125,711.8570556640625,761.316162109375,180.7598114013672,322.2699890136719
2025-08-08,222.69000244140625,721.040771484375,768.7811279296875,182.689697265625,329.6499938964844
2025-08-11,221.3000030517578,720.0325317382812,765.3534545898438,182.0497283935547,339.0299987792969
2025-08-12,221.47000122070312,740.4762573242188,789.4671630859375,183.14967346191406,340.8399963378906
